N_tilde,t_Q,root
12.209090909090909,55.6,40.84816861526975
12.209090909090909,56.60909090909091,41.749541314810465
12.209090909090909,57.61818181818182,42.65229228730315
12.209090909090909,58.627272727272725,43.55637926138463
12.209090909090909,59.63636363636363,44.461761977692376
12.209090909090909,60.64545454545454,45.36840206056213
12.209090909090909,61.654545454545456,46.276262899896594
12.209090909090909,62.663636363636364,47.18530954224761
12.209090909090909,63.67272727272727,48.09550859025772
12.209090909090909,64.68181818181817,49.00682810969845
12.209090909090909,65.69090909090909,49.91923754342271
12.209090909090909,66.69999999999999,50.83270763161959
12.209090909090909,67.7090909090909,51.74721033782252
12.209090909090909,68.7181818181818,52.662718780176036
12.209090909090909,69.72727272727272,53.57920716751709
12.209090909090909,70.73636363636362,54.49665073986828
12.209090909090909,71.74545454545454,55.415025712981
12.209090909090909,72.75454545454545,56.334309226599444
12.209090909090909,73.76363636363635,57.25447929614835
12.209090909090909,74.77272727272727,58.17551476757395
12.209090909090909,75.78181818181817,59.09739527509309
12.209090909090909,76.79090909090908,60.0201012016267
12.209090909090909,77.8,60.94361364171447
12.209090909090909,78.8090909090909,61.86791436672484
12.209090909090909,79.81818181818181,62.79298579219092
12.209090909090909,80.82727272727271,63.718810947116935
12.209090909090909,81.83636363636363,64.64537344511355
12.209090909090909,82.84545454545453,65.57265745723171
12.209090909090909,83.85454545454544,66.50064768637571
12.209090909090909,84.86363636363636,67.42932934318567
12.209090909090909,85.87272727272726,68.35868812328872
12.209090909090909,86.88181818181818,69.28871018582596
12.209090909090909,87.89090909090908,70.2193821331696
12.209090909090909,88.89999999999999,71.15069099175153
12.209090909090909,89.90909090909089,72.08262419393037
12.209090909090909,90.91818181818181,73.01516956082978
12.209090909090909,91.92727272727272,73.94831528608579
12.209090909090909,92.93636363636362,74.88204992044534
12.209090909090909,93.94545454545454,75.81636235716327
12.209090909090909,94.95454545454544,76.75124181814725
12.209090909090909,95.96363636363635,77.68667784080567
12.209090909090909,96.97272727272727,78.6226602655555
12.209090909090909,97.98181818181817,79.5591792239501
12.209090909090909,98.99090909090908,80.49622512739082
12.209090909090909,100.0,81.4337886563874
13.218181818181817,0.1,1.1748793887847138e-05
13.218181818181817,1.1090909090909091,0.015376523301351419
13.218181818181817,2.118181818181818,0.09703725650369675
13.218181818181817,3.1272727272727274,0.27322971005384233
13.218181818181817,4.136363636363636,0.5445930943178385
13.218181818181817,5.145454545454545,0.899590206141839
13.218181818181817,6.154545454545454,1.3244131060108995
13.218181818181817,7.163636363636363,1.806720253792686
13.218181818181817,8.172727272727272,2.3364442188099197
13.218181818181817,9.181818181818182,2.905613018566408
13.218181818181817,10.19090909090909,3.5079480880481846
13.218181818181817,11.2,4.138480334913513
13.218181818181817,12.209090909090909,4.793240647307692
13.218181818181817,13.218181818181817,5.469024263719086
13.218181818181817,14.227272727272727,6.163214755513068
13.218181818181817,15.236363636363635,6.873652919615475
13.218181818181817,16.245454545454546,7.598538673161249
13.218181818181817,17.254545454545454,8.336357043542428
13.218181818181817,18.263636363636365,9.085821790738484
13.218181818181817,19.272727272727273,9.845832017366515
13.218181818181817,20.28181818181818,10.615438428628204
